,tanggal,judul,judul_clean
143,2021-12-01,Terduga Teroris Ditangkap di Luwu Timur Berencana Serang Aparat,duga teroris tangkap luwu timur rencana serang aparat
144,2021-12-01,Aturan Naik Angkutan Umum di Jakarta selama PPKM Level 2,atur angkut jakarta ppkm level
145,2021-12-01,5 Langkah Penting untuk Bangun Kebiasaan Hidup yang Baik,langkah bangun hidup
146,2021-12-01,Jeritan PKL Menyikapi Rencana Relokasi Mereka dari Kawasan Malioboro,jerit pkl sikap rencana relokasi kawasan malioboro
147,2021-12-01,"Pimpinan MPR Usul Sri Mulyani Dicopot, Mensesneg: Itu Urusan Presiden",pimpin mpr usul sri mulyani copot mensesneg urus presiden
148,2021-12-01,Bakal Ada 33.000 Lapangan Kerja Baru Berkat Indonesia Jadi Presidensi G20,lapang kerja berkat indonesia presidensi g
149,2021-12-01,"BMKG Ingatkan Potensi Tsunami 8 Meter di Cilegon, Pemkot Siapkan Jalur Evakuasi Warga",bmkg potensi tsunami meter cilegon pemkot jalur evakuasi warga
150,2021-12-01,"Waspada Siklon Tropis Teratai, BMKG Ingatkan Potensi Hujan Lebat serta Angin Kencang di 5 Daerah Ini",waspada siklon tropis teratai bmkg potensi hujan lebat angin kencang daerah
151,2021-12-01,"Jadwal Padat Selama 2022, BTS Batal Tampil di Batam",jadwal padat bts batal tampil batam
152,2021-12-01,Apa Pentingnya Senjata Hipersonik?,senjata hipersonik
153,2021-12-01,"Bicarakan Album Peaches, Kai EXO: Saya Ingin Menunjukkan Sisi Baru",bicara album peaches kai exo sisi
154,2021-12-01,UPN Veteran Jakarta Selalu Terbuka Informasikan Meninggalnya Mahasiswa,upn veteran jakarta buka informasi tinggal mahasiswa
155,2021-12-01,"Menhub Resmi Perkenalkan I-Motion, Apa Itu?",menhub resmi kenal i motion
156,2021-12-01,Bedanya Ruang Tamu dan Ruang Keluarga,beda ruang tamu ruang keluarga
157,2021-12-01,"Petani di Bandung Makin Canggih, Dikenalkan Teknologi ""Drone"" untuk Pemupukan",tani bandung canggih kenal teknologi drone pupu
158,2021-12-01,BPBD Kotabaru Kalsel Bantah Kabar Ada Korban Tewas akibat Tanah Bergerak,bpbd kotabaru kalsel bantah kabar korban tewas akibat tanah gerak
159,2021-12-01,"Nia Ramadhani dan Ardi Bakrie Jalani Sidang Perdana Kasus Narkoba Besok, Begini Respons Kuasa Hukum ",nia ramadhani ardi bakrie jalan sidang perdana narkoba besok respons kuasa hukum
